Transaction_ID,Transaction_Time_Seconds,Hour_of_Day,Amount,Actual_Class,Actual_Label,Prediction,Fraud_Probability,Risk_Score,Risk_Level,Top_Predictive_Feature
TX_MON_10035,138945.0,14,1.0,0,Legitimate,LEGITIMATE,0.0006,0.06,LOW,sin_hour
TX_MON_10036,45725.0,12,17.59,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10037,127297.0,11,11.35,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V4
TX_MON_10038,75024.0,20,4.99,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10039,37825.0,10,39.02,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V1
TX_MON_10040,50778.0,14,99.0,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,sin_hour
TX_MON_10041,155065.0,19,38.44,0,Legitimate,LEGITIMATE,0.011,1.1,LOW,cos_hour
TX_MON_10042,146083.0,16,16.31,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V22
TX_MON_10043,96151.0,2,342.8,0,Legitimate,LEGITIMATE,0.0014,0.14,LOW,Amount
TX_MON_10044,56616.0,15,170.77,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V16
TX_MON_10045,67538.0,18,10.0,0,Legitimate,LEGITIMATE,0.0025,0.25,LOW,cos_hour
TX_MON_10046,156037.0,19,91.27,0,Legitimate,LEGITIMATE,0.007,0.7,LOW,cos_hour
TX_MON_10047,70822.0,19,5.99,0,Legitimate,LEGITIMATE,0.0017,0.17,LOW,V1
TX_MON_10048,27382.0,7,17.99,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10049,76867.0,21,1.0,1,Fraud,FRAUD,0.9917,99.17,HIGH,V14
TX_MON_10050,144462.0,16,199.0,0,Legitimate,LEGITIMATE,0.0023,0.23,LOW,V16
TX_MON_10051,48610.0,13,1.0,0,Legitimate,LEGITIMATE,0.0011,0.11,LOW,sin_hour
TX_MON_10052,158304.0,19,19.66,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10053,55311.0,15,0.83,1,Fraud,FRAUD,0.9992,99.92,HIGH,V14
TX_MON_10054,143354.0,15,1.0,1,Fraud,FRAUD,0.9971,99.71,HIGH,V14
TX_MON_10055,35233.0,9,453.59,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,Amount
TX_MON_10056,57459.0,15,1.0,0,Legitimate,LEGITIMATE,0.0606,6.06,LOW,V4
TX_MON_10057,91795.0,1,128.11,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V21
TX_MON_10058,127925.0,11,8.99,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V11
TX_MON_10059,148261.0,17,16.8,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V4
TX_MON_10060,11635.0,3,1.0,1,Fraud,FRAUD,0.9803,98.03,HIGH,V14
TX_MON_10061,72123.0,20,2.69,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V1
TX_MON_10062,68317.0,18,28.25,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10063,120181.0,9,105.0,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V10
TX_MON_10064,14504.0,4,2.69,0,Legitimate,LEGITIMATE,0.0021,0.21,LOW,V12
TX_MON_10065,133111.0,12,271.64,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10066,157841.0,19,20.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10067,62476.0,17,294.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,Amount
TX_MON_10068,163061.0,21,12.31,0,Legitimate,LEGITIMATE,0.0067,0.67,LOW,V14
TX_MON_10069,170383.0,23,106.9,0,Legitimate,LEGITIMATE,0.0008,0.08,LOW,sin_hour
TX_MON_10070,119098.0,9,75.63,0,Legitimate,LEGITIMATE,0.0331,3.31,LOW,V14
TX_MON_10071,47975.0,13,3.8,0,Legitimate,LEGITIMATE,0.0023,0.23,LOW,log_amount
TX_MON_10072,75167.0,20,2.69,0,Legitimate,LEGITIMATE,0.0198,1.98,LOW,V14
TX_MON_10073,14500.0,4,570.49,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V10
TX_MON_10074,149690.0,17,1.0,0,Legitimate,LEGITIMATE,0.0064,0.64,LOW,V14
TX_MON_10075,127360.0,11,22.66,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V4
TX_MON_10076,120927.0,9,71.78,0,Legitimate,LEGITIMATE,0.0016,0.16,LOW,V11
TX_MON_10077,23430.0,6,43.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10078,158721.0,20,9.49,0,Legitimate,LEGITIMATE,0.0185,1.85,LOW,V14
TX_MON_10079,153437.0,18,132.98,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10080,109467.0,6,159.9,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V12
TX_MON_10081,153939.0,18,11.53,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10082,52219.0,14,562.28,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,Amount
TX_MON_10083,50234.0,13,68.0,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,sin_hour
TX_MON_10084,80068.0,22,47.85,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,sin_hour
TX_MON_10085,71698.0,19,5.25,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V1
TX_MON_10086,141892.0,15,38.31,0,Legitimate,LEGITIMATE,0.0006,0.06,LOW,sin_hour
TX_MON_10087,48516.0,13,12.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10088,11065.0,3,15.95,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V1
TX_MON_10089,87181.0,0,12.98,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V1
TX_MON_10090,147758.0,17,8.99,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10091,79881.0,22,5.95,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V7
TX_MON_10092,28726.0,7,99.99,1,Fraud,FRAUD,0.9977,99.77,HIGH,V14
TX_MON_10093,58050.0,16,252.43,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V6
TX_MON_10094,125190.0,10,165.28,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V15
TX_MON_10095,29785.0,8,30.3,1,Fraud,FRAUD,0.9808,98.08,HIGH,V14
TX_MON_10096,111968.0,7,236.46,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V4
TX_MON_10097,57923.0,16,27.38,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V4
TX_MON_10098,133527.0,13,1.29,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10099,82024.0,22,22.7,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10100,110942.0,6,18.0,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10101,114758.0,7,11.5,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V6
TX_MON_10102,137981.0,14,1.0,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10103,131671.0,12,19.95,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10104,74630.0,20,1.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10105,97446.0,3,15.95,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V12
TX_MON_10106,122614.0,10,57.07,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V20
TX_MON_10107,54585.0,15,144.0,0,Legitimate,LEGITIMATE,0.0031,0.31,LOW,sin_hour
TX_MON_10108,50975.0,14,83.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10109,122645.0,10,7.5,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V1
TX_MON_10110,141925.0,15,0.76,1,Fraud,FRAUD,0.9203,92.03,HIGH,V14
TX_MON_10111,51155.0,14,99.99,1,Fraud,FRAUD,0.9939,99.39,HIGH,V14
TX_MON_10112,138098.0,14,22.8,0,Legitimate,LEGITIMATE,0.0026,0.26,LOW,V11
TX_MON_10113,147818.0,17,76.94,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V4
TX_MON_10114,65049.0,18,0.76,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10115,110598.0,6,11.27,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10116,127134.0,11,23.74,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10117,131995.0,12,38.9,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10118,7551.0,2,1.0,1,Fraud,FRAUD,0.9969,99.69,HIGH,V14
TX_MON_10119,156075.0,19,48.31,0,Legitimate,LEGITIMATE,0.0006,0.06,LOW,V4
TX_MON_10120,137387.0,14,60.5,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10121,49938.0,13,135.49,0,Legitimate,LEGITIMATE,0.0009,0.09,LOW,V20
TX_MON_10122,4601.0,1,10.62,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V12
TX_MON_10123,91502.0,1,1.0,1,Fraud,FRAUD,0.969,96.9,HIGH,V14
TX_MON_10124,60844.0,16,66.19,0,Legitimate,LEGITIMATE,0.0006,0.06,LOW,cos_hour
TX_MON_10125,99413.0,3,339.59,0,Legitimate,LEGITIMATE,0.0797,7.97,LOW,Amount
TX_MON_10126,70000.0,19,22.5,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V16
TX_MON_10127,169142.0,22,390.0,1,Fraud,FRAUD,0.9989,99.89,HIGH,V14
TX_MON_10128,160621.0,20,6.93,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,sin_hour
TX_MON_10129,156843.0,19,1.29,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10130,151358.0,18,19.6,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10131,74667.0,20,1.0,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10132,148746.0,17,30.76,0,Legitimate,LEGITIMATE,0.0019,0.19,LOW,cos_hour
TX_MON_10133,76314.0,21,20.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10134,69825.0,19,37.79,0,Legitimate,LEGITIMATE,0.0016,0.16,LOW,cos_hour
TX_MON_10135,169757.0,23,30.25,0,Legitimate,LEGITIMATE,0.0013,0.13,LOW,sin_hour
TX_MON_10136,121148.0,9,37.55,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V8
TX_MON_10137,125393.0,10,269.0,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,Amount
TX_MON_10138,36931.0,10,4.46,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,log_amount
TX_MON_10139,81142.0,22,19.02,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10140,63391.0,17,79.98,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10141,45343.0,12,12.97,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10142,68615.0,19,4.49,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,cos_hour
TX_MON_10143,114495.0,7,30.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V20
TX_MON_10144,54899.0,15,533.77,0,Legitimate,LEGITIMATE,0.0011,0.11,LOW,sin_hour
TX_MON_10145,82864.0,23,148.6,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10146,118984.0,9,1.79,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V1
TX_MON_10147,2716.0,0,312.39,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,Amount
TX_MON_10148,142071.0,15,303.8,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,V4
TX_MON_10149,46238.0,12,19.34,0,Legitimate,LEGITIMATE,0.0006,0.06,LOW,sin_hour
TX_MON_10150,75556.0,20,29.95,1,Fraud,FRAUD,0.6906,69.06,MEDIUM,V19
TX_MON_10151,35953.0,9,111.7,1,Fraud,FRAUD,0.9967,99.67,HIGH,V14
TX_MON_10152,78289.0,21,4.5,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V28
TX_MON_10153,78674.0,21,16.35,0,Legitimate,LEGITIMATE,0.0043,0.43,LOW,sin_hour
TX_MON_10154,83822.0,23,268.04,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V1
TX_MON_10155,81550.0,22,0.92,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10156,79218.0,22,15.09,0,Legitimate,LEGITIMATE,0.0015,0.15,LOW,V4
TX_MON_10157,84065.0,23,20.05,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10158,69394.0,19,1.0,1,Fraud,FRAUD,0.9838,98.38,HIGH,V14
TX_MON_10159,144350.0,16,12.99,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V26
TX_MON_10160,38305.0,10,5.36,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,log_amount
TX_MON_10161,62501.0,17,8.99,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10162,54753.0,15,40.0,0,Legitimate,LEGITIMATE,0.0014,0.14,LOW,sin_hour
TX_MON_10163,79060.0,21,136.83,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10164,148948.0,17,18.54,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,cos_hour
TX_MON_10165,93904.0,2,37.93,1,Fraud,FRAUD,0.999,99.9,HIGH,V14
TX_MON_10166,133395.0,13,84.32,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10167,147212.0,16,18.96,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,cos_hour
TX_MON_10168,128471.0,11,67.9,1,Fraud,FRAUD,0.996,99.6,HIGH,V14
TX_MON_10169,29723.0,8,117.45,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V20
TX_MON_10170,29634.0,8,203.96,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,V1
TX_MON_10171,70270.0,19,318.11,1,Fraud,FRAUD,0.9987,99.87,HIGH,V14
TX_MON_10172,38732.0,10,22.78,0,Legitimate,LEGITIMATE,0.0022,0.22,LOW,V4
TX_MON_10173,58805.0,16,59.16,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,V1
TX_MON_10174,136310.0,13,22.22,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V20
TX_MON_10175,55754.0,15,45.0,0,Legitimate,LEGITIMATE,0.0037,0.37,LOW,sin_hour
TX_MON_10176,55692.0,15,2.68,0,Legitimate,LEGITIMATE,0.0023,0.23,LOW,log_amount
TX_MON_10177,153799.0,18,21.03,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10178,53577.0,14,25.53,0,Legitimate,LEGITIMATE,0.0009,0.09,LOW,sin_hour
TX_MON_10179,44438.0,12,4.49,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10180,90192.0,1,359.79,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,Amount
TX_MON_10181,63578.0,17,1.0,0,Legitimate,LEGITIMATE,0.0038,0.38,LOW,cos_hour
TX_MON_10182,32421.0,9,100.0,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V25
TX_MON_10183,12597.0,3,1.0,1,Fraud,FRAUD,0.9977,99.77,HIGH,V14
TX_MON_10184,31644.0,8,37.03,0,Legitimate,LEGITIMATE,0.0013,0.13,LOW,V1
TX_MON_10185,122959.0,10,10.0,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V28
TX_MON_10186,24838.0,6,30.0,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10187,3770.0,1,383.26,0,Legitimate,LEGITIMATE,0.0015,0.15,LOW,V4
TX_MON_10188,56547.0,15,13.6,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V1
TX_MON_10189,154347.0,18,67.29,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,cos_hour
TX_MON_10190,37258.0,10,80.39,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V13
TX_MON_10191,60141.0,16,12.31,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,V17
TX_MON_10192,46850.0,13,12.31,0,Legitimate,LEGITIMATE,0.0036,0.36,LOW,sin_hour
TX_MON_10193,172237.0,23,94.97,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10194,41703.0,11,56.95,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V25
TX_MON_10195,10956.0,3,15.95,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V6
TX_MON_10196,93834.0,2,0.01,1,Fraud,FRAUD,0.9983,99.83,HIGH,V14
TX_MON_10197,160203.0,20,100.0,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V20
TX_MON_10198,140178.0,14,16.76,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10199,71649.0,19,8.97,0,Legitimate,LEGITIMATE,0.0012,0.12,LOW,cos_hour
TX_MON_10200,166831.0,22,634.3,1,Fraud,FRAUD,0.9389,93.89,HIGH,Amount
TX_MON_10201,150336.0,17,0.78,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,cos_hour
TX_MON_10202,93897.0,2,1.0,1,Fraud,FRAUD,0.9991,99.91,HIGH,V14
TX_MON_10203,39072.0,10,9.03,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V1
TX_MON_10204,67829.0,18,4.0,0,Legitimate,LEGITIMATE,0.0021,0.21,LOW,cos_hour
TX_MON_10205,59709.0,16,28.75,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V27
TX_MON_10206,166754.0,22,2.69,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
TX_MON_10207,70507.0,19,1.98,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10208,63757.0,17,93.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10209,84195.0,23,18.58,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10210,130089.0,12,14.0,0,Legitimate,LEGITIMATE,0.0017,0.17,LOW,V4
TX_MON_10211,151907.0,18,726.81,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,Amount
TX_MON_10212,171421.0,23,1.0,0,Legitimate,LEGITIMATE,0.0014,0.14,LOW,V1
TX_MON_10213,159633.0,20,36.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V20
TX_MON_10214,60754.0,16,15.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V20
TX_MON_10215,77276.0,21,0.89,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,V28
TX_MON_10216,63210.0,17,11.15,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,cos_hour
TX_MON_10217,99978.0,3,16.79,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V1
TX_MON_10218,11634.0,3,451.5,0,Legitimate,LEGITIMATE,0.0196,1.96,LOW,Amount
TX_MON_10219,120786.0,9,23.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V6
TX_MON_10220,10220.0,2,21.37,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V20
TX_MON_10221,81607.0,22,0.79,0,Legitimate,LEGITIMATE,0.0331,3.31,LOW,V4
TX_MON_10222,135420.0,13,0.76,0,Legitimate,LEGITIMATE,0.006,0.6,LOW,V14
TX_MON_10223,160795.0,20,1.61,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,log_amount
TX_MON_10224,128636.0,11,11.5,0,Legitimate,LEGITIMATE,0.0029,0.29,LOW,V10
TX_MON_10225,41593.0,11,172.0,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,V25
TX_MON_10226,157734.0,19,267.32,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,Amount
TX_MON_10227,3752.0,1,27.01,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V12
TX_MON_10228,64165.0,17,94.95,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10229,47826.0,13,7.58,1,Fraud,FRAUD,0.7201,72.01,HIGH,V4
TX_MON_10230,83421.0,23,1.98,0,Legitimate,LEGITIMATE,0.0003,0.03,LOW,sin_hour
TX_MON_10231,149640.0,17,2.0,1,Fraud,FRAUD,0.9984,99.84,HIGH,V14
TX_MON_10232,165497.0,21,40.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,sin_hour
TX_MON_10233,119016.0,9,241.54,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,V25
TX_MON_10234,130528.0,12,4.49,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,sin_hour
TX_MON_10235,44532.0,12,1.0,1,Fraud,FRAUD,0.8073,80.73,HIGH,V10
TX_MON_10236,59859.0,16,70.84,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V15
TX_MON_10237,77626.0,21,5.42,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V20
TX_MON_10238,158523.0,20,168.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V20
TX_MON_10239,59385.0,16,18.98,1,Fraud,FRAUD,0.9972,99.72,HIGH,V14
TX_MON_10240,52596.0,14,30.0,0,Legitimate,LEGITIMATE,0.0014,0.14,LOW,sin_hour
TX_MON_10241,37773.0,10,79.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V11
TX_MON_10242,80078.0,22,49.99,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,sin_hour
TX_MON_10243,40416.0,11,100.0,0,Legitimate,LEGITIMATE,0.0007,0.07,LOW,V28
TX_MON_10244,61530.0,17,2.22,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,cos_hour
TX_MON_10245,102842.0,4,30.0,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,cos_hour
TX_MON_10246,139317.0,14,191.16,0,Legitimate,LEGITIMATE,0.0041,0.41,LOW,V4
TX_MON_10247,141808.0,15,58.31,0,Legitimate,LEGITIMATE,0.0218,2.18,LOW,V14
TX_MON_10248,26863.0,7,99.99,1,Fraud,FRAUD,0.9979,99.79,HIGH,V14
TX_MON_10249,91857.0,1,57.0,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V12
TX_MON_10250,7891.0,2,1.0,1,Fraud,FRAUD,0.9976,99.76,HIGH,V14
TX_MON_10251,141681.0,15,230.58,0,Legitimate,LEGITIMATE,0.0002,0.02,LOW,V23
TX_MON_10252,36668.0,10,29.0,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V11
TX_MON_10253,163618.0,21,1.0,0,Legitimate,LEGITIMATE,0.0004,0.04,LOW,V18
TX_MON_10254,57766.0,16,1.29,0,Legitimate,LEGITIMATE,0.0005,0.05,LOW,log_amount
TX_MON_10255,59694.0,16,52.25,0,Legitimate,LEGITIMATE,0.0001,0.01,LOW,V18
TX_MON_10256,138816.0,14,22.5,0,Legitimate,LEGITIMATE,0.0,0.0,LOW,sin_hour
